titles,body_texts,img_urls
スカパーJSAT、放送インフラ外販知財ビジネスの「黒子」がお宝に,スカパーJSATが衛星放送施設「スカパー東京メディアセンター（TMC、東京・江東）」をロケ地として利用してもらったり、センター内の番組制作スタジオを貸し出したりするサービスに乗り出した。知的財産（IP）事業強化の流れは放送業界以外にも広がり、良質な番組制作環境への需要は高い。IP創出の「黒子」ビジネスともいえる新サービスは苦境のメディア事業の隠れたお宝になるかもしれない。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2415585025122025000000-1.jpg?auto=format&bg=FFFF&crop=focalpoint&fit=crop&fp-x=0.3&fp-y=0.39&h=630&w=1200&s=3a7c75703dd6a5fee1794c1b2c73e61d
テレビ分離のソニーG、ツートップが30年前に描いた「連邦制」,ソニーグループがテレビ事業の分離を決めた。中国TCLグループが主導する合弁会社に運営を委ねることになる。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2509352022012026000000-1.jpg?auto=format&bg=FFFF&crop=focalpoint&fit=crop&fp-x=0.1&fp-y=0.34&h=630&w=1200&s=a1dd8f94e9b798d7e28df3a893748d02
SIMカードとは契約者情報を記録、格安など多様な料金プラン,▼SIMカード　電話番号や契約者情報を記録したICカード。スマートフォンやタブレットなどの通信機器に挿入して、通話やショートメッセージサービス（SMS）、データ通信を可能にする。オンラインで契約情報を書き換える「eSIM（イーシム）」や、1枚のSIMカードで複数の通信事業者の通信回線に接続できる「マルチプロファイルSIM」がある。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2520664023012026000000-3.jpg?auto=format&bg=FFFF&fill=blur&fit=fill&h=630&upscale=false&w=1200&s=f580b7e5cbd500d4c187a076e1e6c59a
デジ抜きステーショナリーで2月の勝者に、受験本番スマホ遠ざける,学校教育のICT（情報通信技術）化は急速に進む。一方、親は「スマホ依存症になった」「勉強に集中できない」と懸念する。文具・事務用品メーカーはアナログの良さを生かしたデジ（タル）抜きステーショナリーで解決策を提供する。受験シーズンまっただ中、各社のユニーク商品は子供を「2月の勝者」に導く強い味方になるかもしれない。,https://article-image-ix.nikkei.com/https%3A%2F%2Farticle-image-ix.nikkei.com%2Fhttps%253A%252F%252Fimgix-proxy.n8s.jp%252Ftopic%252Fog%252F18083102-1.jpg%3Fixlib%3Djs-2.3.2%26auto%3Dformat%252Ccompress%26fit%3Dmax%26ch%3DWidth%252CDPR%26s%3D247e94a61d1224a1fdda3a11c97ff468?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&crop=faces%252Cedges&s=1ac6792882bae0656dd22dd1af335935
中国、AI半導体「H200」受け入れ準備かNVIDIAファン氏近く訪中,【シリコンバレー=清水孝輔】米エヌビディアが人工知能（AI）開発に使う半導体「H200」の対中輸出に向け動き出した。H200は米国が出荷容認を表明し、中国側が一時輸入に難色を示す局面もあったが、受け入れ準備を始めた。同社のジェンスン・ファン最高経営責任者（CEO）は近く中国を訪問し、採用を働きかける。,https://article-image-ix.nikkei.com/https%3A%2F%2Farticle-image-ix.nikkei.com%2Fhttps%253A%252F%252Fimgix-proxy.n8s.jp%252Ftopic%252Fog%252F17090322-1.png%3Fixlib%3Djs-2.3.2%26auto%3Dformat%252Ccompress%26fit%3Dmax%26ch%3DWidth%252CDPR%26s%3D0eeae9670da5465706948134f3cc1473?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&crop=faces%252Cedges&s=b4fd556591bbccd21fde9ee86ae51a08
パスワード、理想は何文字以上？破られにくくするには長さが重要,2025年11月、東海地方在住の男性（19）は、母親と共有しているストリーミングサービスのアプリを久しぶりに立ち上げて驚いた。「言語設定はインドネシア語に変更され、ファミリー全員の名前が変えられていた」,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2509531022012026000000-1.jpg?auto=format&bg=FFFF&crop=focalpoint&fit=crop&h=630&w=1200&s=c8e9728c2cf9f3465bd15f548d636599
株価1年で2.2倍のスカパーJSATHD、宇宙防衛で増す存在感,スカパーJSATホールディングス（9412）株の上昇が続いている。2025年に株価が2倍超になった勢いは年明けも衰えず、1月15日に上場来高値を更新した。防衛省向けの衛星網を整備する事業を落札するなど、防衛・安全保障分野で同社の宇宙事業の存在感は大きい。防衛関連が株式市場のテーマとなるなか、投資マネーの流入が続いている。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2517087023012026000000-1.jpg?auto=format&bg=FFFF&crop=focalpoint&fit=crop&h=630&w=1200&s=c2695ea1475ecc0a86078631ae3de73d
シャープ堺工場は「最高の居抜き物件」KDDIがつくったAIデータ拠点,KDDIは堺市に大規模なAI（人工知能）データセンターを開設した。堺データセンターは大阪市内からも約15キロメートルと近く、高度なAI処理をしても低遅延で返答させることが可能な距離といえる。昨今、生成AIの世界では米オープンAIの「Chat（チャット）GPT」よりもグーグル「Gemini」のほうが評価が高くなっている。今回、オープンした堺データセンターではGeminiを使ったAIサービスの開発が...,https://article-image-ix.nikkei.com/https%3A%2F%2Farticle-image-ix.nikkei.com%2Fhttps%253A%252F%252Fimgix-proxy.n8s.jp%252Ftopic%252F17090311-2-3.png%3Fixlib%3Djs-1.2.0%26s%3Dd4f7eb11d122404627744bc5e15dfdce?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&crop=faces%252Cedges&s=4cb79f21fa608b5fcd4339e2b84c147f
欧州ファンドEQT、システム開発の豆蔵を買収へ総額586億円,欧州系投資ファンドのEQTは23日、システム開発の豆蔵に1株3551円でTOB（株式公開買い付け）を実施すると発表した。国内ファンドのインテグラルや創業家などからも株式を譲り受け、総額586億円を投じて買収する。非公開化で人工知能（AI）関連投資を進める。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2516608023012026000000-1.jpg?auto=format&bg=FFFF&crop=focalpoint&fit=crop&h=630&w=1200&s=2747f289b896c683ca8b04bb4260028b
LINEヤフーシステム基盤統合データ･技術相互利用、サービス拡充,LINEヤフーは2030年にも、LINEとヤフーで異なるデータやシステム管理の基盤を統合する。両方のビッグデータを活用できる環境をつくり、人工知能（AI）の力も借りて、事業の垣根を越えたサービス提案を増やす。基盤統合を契機に、傘下に100を超えるネットサービスを抱えて積年の課題となっていたサービス間の連携を推し進める。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2398982023122025000000-1.jpg?auto=format&bg=FFFF&crop=focalpoint&fit=crop&h=630&w=1200&s=0689f328f1f9a9ecf7957390070dae82
サカナAI、Googleから資金調達ジェミニで製品開発,人工知能（AI）開発のSakana AI（サカナAI、東京・港）は23日、米グーグルから出資を受けると同時に事業面でも提携したと発表した。グーグルの大規模言語モデル（LLM）を活用した製品開発などを進める。金融や政府といったセキュリティー要件が厳しい顧客に対し、グーグルのクラウド基盤上で製品を提供する。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2509576022012026000000-2.jpg?auto=format&bg=FFFF&crop=focalpoint&fit=crop&h=630&w=1200&s=a5321749a85944086dd67c66f6c6b88d
タイ最大財閥のCP、創業家出身CEOが退任通信事業立て直しに専念,【バンコク=赤間建哉】タイ最大財閥のチャロン・ポカパン（CP）グループは23日、スパチャイ・チャラワノン最高経営責任者（CEO）が退任したと明らかにした。立て直しを迫られる通信事業の経営に専念する。同氏は財閥の総帥であるタニン上級会長の三男で、グループの後継戦略の観点からも動向が注目されている。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2517507023012026000000-1.jpg?auto=format&bg=FFFF&crop=focalpoint&fit=crop&fp-x=0.47&fp-y=0.49&h=630&w=1200&s=c09b21de1c0423a9cb51a428b273d1b5
全日空商事、宇宙光通信の新興に出資供給網管理や海外展開を支援,ANAグループの全日空商事は、宇宙向けの光通信技術を手掛けるスタートアップのワープスペース（茨城県つくば市）に出資したと発表した。同社のサプライチェーン（供給網）管理や海外への製品販売の強化に向けて資本業務提携した。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2515774023012026000000-1.jpg?auto=format&bg=FFFF&crop=focalpoint&fit=crop&h=630&w=1200&s=860d4a4954cfa483e658073fb3bca6ed
セイコー系、車両管理の新サービスアルコール検知特化と物理鍵対応,セイコーグループでシステム構築などを手掛けるセイコーソリューションズは、同社の法人向けクラウド型車両管理システム「Mobility＋」で2つの新サービスの提供を2月から始めると発表した。アルコールチェッカーの結果が一定の基準値を上回ると、エンジンがかからなくなる「アルコールインターロック機能」に特化したサービスと、シリンダーキー（物理キー）に対応したサービスを提供する。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2517885023012026000000-1.jpg?auto=format&bg=FFFF&crop=focalpoint&fit=crop&h=630&w=1200&s=6aa346ef7081e4bde86fdaeef7772a2e
NTTドコモなど、家庭用蓄電池の導入サービス先行受付を開始,NTTドコモと電力事業を手掛けるNTTスマイルエナジー（大阪市）、家庭向け太陽光発電設備を販売するELJソーラーコーポレーション（名古屋市）は、家庭用蓄電池の普及促進に向けて業務提携したと発表した。各社の強みを生かした蓄電池の導入サービスを提供する。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2513477022012026000000-1.jpg?auto=format&bg=FFFF&crop=focalpoint&fit=crop&h=630&upscale=false&w=1200&s=04691e3a560f92b8d8db0983fab78915
TikTokの米国事業移管が完了米政府主導でオラクル連合に,【ワシントン=八十島綾平】中国発の動画共有アプリTikTok（ティックトック）の運営会社は22日、米国事業の移管手続きが完了したと発表した。米オラクルなどが設立した合弁会社が受け皿となる。米政府が主導する異例の再編劇が決着し、米国でのサービス継続に道筋がついた。,https://article-image-ix.nikkei.com/https%3A%2F%2Farticle-image-ix.nikkei.com%2Fhttps%253A%252F%252Fimgix-proxy.n8s.jp%252Ftopic%252Fog%252F17090322-1.png%3Fixlib%3Djs-2.3.2%26auto%3Dformat%252Ccompress%26fit%3Dmax%26ch%3DWidth%252CDPR%26s%3D0eeae9670da5465706948134f3cc1473?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&crop=faces%252Cedges&s=b4fd556591bbccd21fde9ee86ae51a08
世界のAIアプリ収益3.3倍に25年50億ドル、米調査会社,米調査会社のセンサータワーは「Chat（チャット）GPT」など生成AI（人工知能）アプリの世界収益額が2025年に約50億ドル（約7900億円）と、前年比3.3倍に増えたと発表した。利用時間も3.6倍に伸びた。「Gemini（ジェミニ）」「DeepSeek（ディープシーク）」などの米中企業のAIアプリを筆頭に、個人中心のスマートフォン市場でも利用拡大が続く。,https://article-image-ix.nikkei.com/https%3A%2F%2Farticle-image-ix.nikkei.com%2Fhttps%253A%252F%252Fimgix-proxy.n8s.jp%252Ftopic%252Fog%252F23012400-1.png%3Fixlib%3Djs-2.3.2%26auto%3Dformat%252Ccompress%26fit%3Dmax%26ch%3DWidth%252CDPR%26s%3D63554b98b466f5b3c3d1202142492bf4?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&crop=faces%252Cedges&s=48d56bad5bc71a372185436175eafa40
大塚商会、中堅・中小向けチャット型生成AI月額11万円で,大塚商会は、中堅・中小企業向けのチャット型生成AI（人工知能）サービス「たよれーるneoAI Chat mini」の提供を2月2日に始めると発表した。企業データを学習させることで、社内規定の自動応答や議事録要約、資料作成の自動化など様々な業務に特化したAIアシスタントを簡単に構築できる。年間契約で価格は月額11万円（税抜き）から。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2511594022012026000000-1.jpg?auto=format&bg=FFFF&crop=focalpoint&fit=crop&h=630&w=1200&s=17616e1b5312a357da8d275e43e26d81
さくらインターネット執行役員「国内AI産業のインフラ企業に」,さくらインターネットは生成AI（人工知能）を使いたい企業向けに米エヌビディア製の画像処理半導体（GPU）を活用したクラウドサービスを提供している。2025年には新たにコンテナ型データセンターを稼働し、エヌビディアのGPU「H200」を1072台導入した。同社のAI事業を担当する霜田純執行役員に今後の成長戦略を聞いた。,https://article-image-ix.nikkei.com/https%3A%2F%2Farticle-image-ix.nikkei.com%2Fhttps%253A%252F%252Fimgix-proxy.n8s.jp%252Ftopic%252Fog%252F24120401-1.jpg%3Fixlib%3Djs-2.3.2%26auto%3Dformat%252Ccompress%26fit%3Dmax%26ch%3DWidth%252CDPR%26s%3D5252fed03e6e3e1d2c29bc6152e09f42?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&crop=faces%252Cedges&s=edd38305a7ad03d8354945ce3e4573cd
アパホテル、1日に2度貸し稼働率100%超｢空白の時間｣ITで短縮,観光庁の統計によると、2024年の東京都の宿泊施設の稼働率は75.1%。旺盛なインバウンド需要を追い風に、かつてないほど高水準が続いている。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2445792007012026000000-1.jpg?auto=format&bg=FFFF&crop=focalpoint&fit=crop&h=630&upscale=false&w=1200&s=4daf2e03055ec16a1f9b3374332f111e
三菱食品社長「欧米やアジアに日本食を」海外投資を加速へ,食品卸大手の三菱食品は2025年に三菱商事の完全子会社となり、26年から本格的に日本食文化の輸出を拡大する。食品卸業界はメーカーと小売りをつなぐ役割だが、物流コストの上昇などで経営環境は厳しい。京谷裕社長に26年の消費動向、三菱商事と一体となった成長戦略をどう描くのかについて聞いた。,https://article-image-ix.nikkei.com/https%3A%2F%2Farticle-image-ix.nikkei.com%2Fhttps%253A%252F%252Fimgix-proxy.n8s.jp%252Ftopic%252Fog%252F18083102-1.jpg%3Fixlib%3Djs-2.3.2%26auto%3Dformat%252Ccompress%26fit%3Dmax%26ch%3DWidth%252CDPR%26s%3D247e94a61d1224a1fdda3a11c97ff468?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&crop=faces%252Cedges&s=1ac6792882bae0656dd22dd1af335935
タイ通信大手トゥルー、ノルウェー同業が保有株売却へ6100億円,【バンコク=赤間建哉】タイ通信最大手トゥルー・コーポレーションは22日、ノルウェー通信大手テレノールが保有するトゥルー株式を売却する方針を固めたと発表した。売却額は総額1228億バーツ（約6100億円）。トゥルー大株主のタイ最大手財閥チャロン・ポカパン（CP）グループ系ファンドが買い取り、経営へ関与を強める。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2514046022012026000000-1.jpg?auto=format&bg=FFFF&crop=focalpoint&fit=crop&fp-x=0.1&fp-y=0.76&h=630&w=1200&s=2cc89b41a4fe8f23c9a41aeae2c9b19b
アリババ、半導体事業のIPO検討ブルームバーグ報道,【上海=若杉朋子】米ブルームバーグ通信は22日、中国ネット通販最大手のアリババ集団が半導体開発部門について新規株式公開（IPO）の準備を進めていると報じた。時期は未定という。中国政府が生成AI（人工知能）向けなどで自国半導体の普及を後押しするなか、半導体関連企業のIPOが相次いでいる。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2513766022012026000000-1.jpg?auto=format&bg=FFFF&crop=focalpoint&fit=crop&h=630&w=1200&s=03bdc07a425f1a5b35b010c26fa8fcf3
住友ベーク、京セラの半導体化学材料を買収AIデータセンター向け,住友ベークライトは22日、京セラが手掛ける半導体向け化学材料事業を300億円で買収すると発表した。住友ベークライトにとって過去最大クラスの買収額となる。これまで同社はパワー半導体などの材料が強かったが、手薄だった人工知能（AI）データセンター向けのメモリー半導体に使う材料を強化する。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2512108022012026000000-2.jpg?auto=format&bg=FFFF&crop=focalpoint&fit=crop&fp-x=0.56&fp-y=0.36&h=630&w=1200&s=3aa248ee4cafcc39f49d875389ac6dbc
常陽銀行、高校生向け「テック」コンテスト2次審査に13作品,常陽銀行は22日、茨城県内の高校生からアプリやネットにつながる「IoT」機器などの作品を募集する「Joyo High schoolテックコンテスト」の2次審査を開いた。206件の応募案件から1次審査を通過した13件の開発を担当した高校生らが、銀行やIT（情報技術）企業の専門家を前にプレゼンテーションをした。2月に最優秀賞など各賞を決める。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2512187022012026000000-1.jpg?auto=format&bg=FFFF&crop=focalpoint&fit=crop&fp-x=0.45&fp-y=0.44&h=630&w=1200&s=c54e4a3096ac5b0e81625f943d1bf95f
KDDIのデータセンター、シャープ堺工場跡で稼働｢産業の転換点｣,KDDIが堺市にあるシャープの大型テレビ向け液晶パネル工場跡地を取得して整備を進めてきたデータセンターが22日、稼働を始めた。変圧器や受電盤、ターボ冷凍機などシャープの既存設備を転用することで工事費用を抑え、用地の取得からわずか9カ月での運用開始を実現した。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2511188022012026000000-1.jpg?auto=format&bg=FFFF&crop=focalpoint&fit=crop&fp-x=0.36&fp-y=0.34&h=630&w=1200&s=c57744aeb8b6b0695db9ec20a6e5aac7
民放連、ガバナンス指針制定フジ問題受け検証審議会設置,日本民間放送連盟（民放連）は22日、会員各社のコーポレートガバナンス（企業統治）の底上げを目指す「民間放送ガバナンス指針」を制定し、外部の有識者を中心とする常設の「ガバナンス検証審議会」を設置すると発表した。フジテレビジョンを巡る人権問題などを受け、業界として対応を強化する。,https://article-image-ix.nikkei.com/https%3A%2F%2Farticle-image-ix.nikkei.com%2Fhttps%253A%252F%252Fimgix-proxy.n8s.jp%252Ftopic%252Fog%252F25012000-1.jpg%3Fixlib%3Djs-2.3.2%26auto%3Dformat%252Ccompress%26fit%3Dmax%26ch%3DWidth%252CDPR%26s%3D5a2ad107f16f90207f96aafa4b89ebcf?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&crop=faces%252Cedges&s=6d2dcaed191a7b5cb468b8f884c59a09
インフォマート、AI-OCRのインボックスに追加出資提携拡大,電子請求大手のインフォマートは、人工知能（AI）を活用した光学式文字読み取り装置（AI-OCR）技術などを手掛けるinvox（インボックス、東京・新宿）に追加出資して業務提携を拡大すると発表した。インボックスの株式1115株を19億1100万円で追加取得する。議決権所有割合は33.41%となり持ち分法適用関連会社とする。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2510415022012026000000-1.jpg?auto=format&bg=FFFF&crop=focalpoint&fit=crop&h=630&w=1200&s=6cfbe8204041c4278c562a5ecfd96cb3
KDDIデータ拠点、シャープ堺工場をスピード転用ソフトバンクに先行,KDDIは22日、堺市にあるシャープの液晶パネル工場跡地で開設準備を進めていたデータセンターの稼働を始めたと発表した。人工知能（AI）用のクラウドサービスを提供し、医療などの新技術開発に活用する。同跡地はソフトバンクも大規模データ拠点を新設予定だ。培った工期短縮ノウハウを注ぎ込み、画像処理半導体（GPU）や電力確保にもメドを付けKDDIが一歩先行した。,https://article-image-ix.nikkei.com/https%3A%2F%2Farticle-image-ix.nikkei.com%2Fhttps%253A%252F%252Fimgix-proxy.n8s.jp%252Ftopic%252Fog%252F24032801-4.png%3Fixlib%3Djs-2.3.2%26auto%3Dformat%252Ccompress%26fit%3Dmax%26ch%3DWidth%252CDPR%26s%3D2d244c3f1d07ec181bdbde08b54a2fd7?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&crop=faces%252Cedges&s=e5657db6199780cf94cd18de19d007fe
BIPROGY、マイクロソフトのローコード開発ツール向け技術支援,情報システム開発のBIPROGYは、専門的なプログラミング作業を必要としない米マイクロソフトのローコード開発ツール「Microsoft Power Platform」の技術支援サービスを開始すると発表した。同ツールを利用する企業に向けて、技術的な疑問や課題の解決を支援する。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2510380022012026000000-1.jpg?auto=format&bg=FFFF&crop=focalpoint&fit=crop&h=630&w=1200&s=4605c9cf21b96077e92396f82b29eaf1
コニカミノルタ、中小向けセキュリティーサービス英専門企業と連携,コニカミノルタジャパンは22日、IT人材の不足に悩む中小企業向けにサイバー攻撃対策の新サービスを始めたと発表した。英セキュリティーソフトのソフォス（sophos）と連携して顧客企業の重要データの漏洩を防ぐ。コニカミノルタは事務機事業で抱える中小企業の顧客基盤を活用する。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2510170022012026000000-1.jpg?auto=format&bg=FFFF&crop=focalpoint&fit=crop&h=630&w=1200&s=5de8c824d25e9032b059c9b059cc2f21
SHIFT、業務・開発のAI定着を支援技術中立の立場で製品選定,SHIFTは、企業の人工知能（AI）導入から定着までを支援するサービスの提供を始めた。特定の製品に縛られず、技術中立の立場から適切なAI技術を選定して伴走型でサポートする。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2510390022012026000000-1.jpg?auto=format&bg=FFFF&crop=focalpoint&fit=crop&h=630&w=1200&s=310e7bda9fe8f9d9edbe838c8b8ebd14
エンジニア転職支援のファインディ、26年に3つのAI新事業開始,IT（情報技術）業界向け転職サービスのファインディ（東京・品川）は年内に、人工知能（AI）を活用した新規事業の支援など新たに3つのサービスを本格提供すると発表した。AIによる業務効率化サービスを第2の事業の柱に育てる。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2509464022012026000000-1.jpg?auto=format&bg=FFFF&crop=focalpoint&fit=crop&fp-x=0.19&fp-y=0.78&h=630&w=1200&s=259bf7dfe818d29b11014537ee2e7ec1
AI時代の「主権」堅持へ各国急ぐダボス会議、バブル説には異論も,人工知能（AI）を巡る国家間の競争が激しさを増している。未来の国力を左右するとの見方もある中、世界経済フォーラム（WEF）の年次総会（ダボス会議）でもテック大手幹部らが、各国が自前でAI産業を育成する重要性を強調した。足元で出ている「AIバブル説」には異議を唱える見解が目立った。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2508648021012026000000-1.jpg?auto=format&bg=FFFF&crop=focalpoint&fit=crop&fp-y=0.25&h=630&w=1200&s=88d9e02dccf45559c2d05abc20161c1f
住友商事の巽CDO、生成AI時代「意思決定のスピード必須に」,住友商事はシステム開発のSCSKの完全子会社化を決めた。このほどTOB（株式公開買い付け）が成立し、2025年度内にもSCSKは上場廃止になる。住友商事の投資額は同社の企業買収として過去最大の約8800億円。巨額投資の背景と勝算を最高デジタル責任者（CDO）兼最高情報責任者（CIO）の巽達志執行役員に聞いた。,https://article-image-ix.nikkei.com/https%3A%2F%2Farticle-image-ix.nikkei.com%2Fhttps%253A%252F%252Fimgix-proxy.n8s.jp%252Ftopic%252Fog%252F24120401-1.jpg%3Fixlib%3Djs-2.3.2%26auto%3Dformat%252Ccompress%26fit%3Dmax%26ch%3DWidth%252CDPR%26s%3D5252fed03e6e3e1d2c29bc6152e09f42?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&crop=faces%252Cedges&s=edd38305a7ad03d8354945ce3e4573cd
みずほ銀行と富士通、中小向けサービス開発へ受発注データ自動変換,みずほ銀行と富士通は大・中小企業間で異なる受発注データの形式を、自動変換する技術の実証実験に成功した。大企業と中小企業では受発注システムを自動連携できず、中小側は入金や支払い確認などの煩雑な作業を続けてきた。今回確立した技術をもとにみずほ銀と富士通は受発注や決済業務をデジタル化するサービスを開発する。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2507262021012026000000-2.jpg?auto=format&bg=FFFF&crop=focalpoint&fit=crop&h=630&w=1200&s=65db5d56723a3b7d56947597c1381196
アパホテルのチェックイン・アウトは1秒わずか10人のIT集団が先導,2025年12月上旬のある夕暮れ。東京ドームにほど近い東京・千代田のアパホテル水道橋駅前店に、キャリーケースを引いたスーツ姿の男性が来店した。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2445438007012026000000-1.jpg?auto=format&bg=FFFF&crop=focalpoint&fit=crop&h=630&upscale=false&w=1200&s=3e9747fb30ddb202f9c1633e261f9793
スタディスト、ベトナムに新拠点手順書システムを100社に,電子マニュアルの作成システムを手掛けるスタディスト（東京・千代田）はこのほど、ベトナムの最大都市ホーチミンに拠点を設立した。現地の日系企業に向けて、クラウドサービスの「ティーチミー・ビズ」を展開する。工場を抱える製造業を中心に売り込み、2028年までに100社への導入を目指す。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2504828021012026000000-1.jpg?auto=format&bg=FFFF&crop=focalpoint&fit=crop&fp-x=0.21&fp-y=0.18&h=630&w=1200&s=cd08128807cd434393050a5864401aa2
OpenAIがブラウザー、AI搭載で「秘書」にGoogle1強に挑む,インターネットに欠かせないブラウザー（閲覧ソフト）が人工知能（AI）によって高度化している。複数のサイトを行き来して比較や検討をし、必要な情報は自動で入力する。利用者の代わりに作業する「秘書」として振る舞う。米オープンAIが参入するなど新たな競争が生まれているが、市場を握る米グーグルの牙城はなお堅い。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2447516007012026000000-1.jpg?auto=format&bg=FFFF&crop=focalpoint&fit=crop&h=630&w=1200&s=7fa5dfe11fb7ff00858733cce221539c
新興ポリスフィア、経費仕訳のAIエージェントLINEで入力楽に,デジタル技術で業務効率化を手掛けるポリスフィア（東京・新宿）は人工知能（AI）が自動で経費を仕訳するサービスを22日に始める。対話アプリ「LINE（ライン）」やカレンダーアプリとの連携で人手による入力を減らす。個人事業主や数人規模の企業を中心に2027年中に1万件の導入を目指す。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2503444021012026000000-1.jpg?auto=format&bg=FFFF&crop=focalpoint&fit=crop&h=630&w=1200&s=72f6c4d172d8a84db14e98c3b09a3082
